kh-qx4ncshwrucb5_7amka	Chuck Norris is the only known mammal in history to have an opposable thumb. On his penis.
e0hd-25ls12dbuoqr8q0_q	The phrase 'break a leg' was originally coined by Chuck Norris's co-stars in Walker, Texas Ranger as a good luck charm, indicating that a broken leg might be the worst extent of their injuries. This never proved to be the case.
EQH2S8AySwuaejXPh8MeHA	Chuck Norris receives billion-dollar royalty cheques from the World Bank monthly for his cameo role in 'Dodgeball'.
2COz4ZY4SJaM7WKJUmSZ3Q	Michael Phelps currently holds the record for most Olympic gold medals in a single Games with 8. That record will be broken in 2012, when Chuck Norris wins 22.
lhNnigJgTDOdqxnvAFYjPQ	Chuck Norris recently won the celebrity 'Dancing with the Stars' TV competition with his rendition of a Rottweiler dragging is ass across the carpet.
9PO1YaVwQbGbGjGbp0VpDw	when Chuck Norris lost his ring he made he commanded SADAKU to retrieve it
JaQTsFytR-i4FV2AYTzw4w	Chuck Norris contacted Smallpox. It made him sniffle and it evolved into Ebola. So he blew his nose while on vacation in Liberia.
hnVkp0ciT9qsNwNmK1oPPQ	Q:What does Chuck Norris eat for breakfast? A:Nails and bullets. His beverage is gasoline.
Dg4aTNSlSHGJK6g_ezJxDg	When Chuck Norris gets really mad, he raises the roof. LITERALLY.
wbm-Y0u1QFKczNK2cd8cgQ	Chuck Norris keeps a machete hidden inside his foreskin.
asmYxIHqSki16SU_kHNvEA	Chuck Norris doesn't give his wife anniversary presents. The honer of being Mrs Chuck Norris is enough for her.
odognilzqycwinumdqbwwq	Chuck Norris uses ribbed condoms inside out, so he gets the pleasure.
ZCprzL0VQkOfWsusRzdFhw	Chuck Norris isn't in the army the army's in Chuck Norris
KIdYOmxZTmO6gkRmC6MJaA	Chuck Norris can speak brail
0Rw-BctpQU-eJKJQZFtHVw	Chuck Norris used steel wool and his two middle fingers to knit himself a Chevrolet 4x4 double-cab monster pickup truck.
OofgqUISRZOgqo2tqsU6Ow	Chuck Norris once jumped up a bannana tree and sang the Star Spangled Banner backwards. When asked why he replied "Happy pappy bang bang!" then shat his pants
vckjiLtSQ72z5Ml9kgq0wA	Chuck Norris once created a rock so heavy that even Chuck Norris couldn't lift it, then he lifted it anyway, just to show the who the fuck Chuck Norris is.
3CvcC2PgQWubrywAaPj32g	Chuck Norris won a staring contest against medusa
RChm8djZRx6Ovr0sH3aBeQ	Chuck Norris believes that for every action there is an equal and opposite roundhouse kick to your head.
NlRTw5ZHRe-gTCkqTrcYdQ	Chuck Norris doesn't need a baseball bat to Beat on the Brat.
J_WCwWyMQAmxXa6EYen5tA	The reason this website is still standing, is because we are complementing Chuck Norris.
wphkHUtSQUSeox0fMjuvtQ	no one really knows why Sergio Busquets kicked the ball over the bars against Chelsea until now he was threatened by Chuck Norris in the crowd telling him you score this son and you will never be at peace because you will be living in fear thinking when you will feel the wrath of my roundhouse kick
5CKVrHLdShqzRPZah03p3g	World History is simply a chronicling of events that Chuck Norris has let happen.
pooli1vys9qwxmf57_mv-w	Chuck Norris smells what the Rock is cooking... because the Rock is Chuck Norris' personal chef.
TDY_KBBFQIya5ZDzetLO3A	Chuck Norris once held his shit for three days. His defacation is now known as the Rocky Mountains.
sRRPwuP3QJu6qGQyjyEXhw	Chuck Norris is did catch'em all
iZVkxaRVRlmXV2uq8TqgiQ	There are no such thing as disabled people; only people who met Chuck Norris and lived.
JiERQMY4QM-swaA54r_I1g	Chuck Norris once helped an old lady across the street. When a car did not stop, he roundhoused kicked it thus creating the first mini. When the old lady thanked him he roundhoused kicked her for good measure.
74ipdu8erx6sqzutjhmgbq	Chuck Norris does not need to know about class factory pattern. He can instantiate interfaces.
i2z6y4boQzawQvFFTxcEnQ	Chuck Norris does not have a fence. He has a dotted line and a sign that says "I dare you".
xJZEP0BJQHeSR1fyrLgKGw	On January 28th, 1986, NASA said they had a rocket that could fly faster then Chuck Norris......Chuck proved them wrong
yevZ1C6IQViUoVvD6gM8Ng	There's no life on Mars because Chuck Norris have already been there.
NyhyRMD-QzKpiCD7z07T6Q	The only thing that can harm Superman is "Green Kryptonite" which quite interestingly is the scientific name given to Chuck Norris' boogers.
PPxVm6zuSW-Hv5LxENBkqw	The great wall of china was made as a stand for Chuck Norris's penis as Chuck Norris couldn't hold it up him self. Just kidding, he just wasn't bothered. And he HAS been alive that long.
t1HQRTDFRKG0yKzXf_4NnA	Following a recent kickboxing training mishap,Chuck Norris no longer has a shadow.
CvhhOm7nRUaHAHBGXmzr9w	Chuck Norris doesn't call the wrong number. You answer the wrong phone
FOv-Z-gkQ_GaToMVYFuZSA	Chuck Norris can put his coat on before his shirt.
ByFXOIeYSlWKSQpTXhY3Bg	Chuck Norris once got his dick caught in an unfortunate wood chipper accident. After 24 hours of intensive reconstruction, the wood chipper was brought back into a fully functional machine.
4BorCp-GQdSC-xzN5U9ejw	The Japanese surrendered in 1945 not because of the atomic bomb, but because they heard Chuck Norris was about to be unleashed upon them.
6lWz3C-UQW693l_2_dK-cg	Chuck Norris can conect parallel lines
rAWxAkqpTHWGyfBW0fZNog	Chuck Norris once walked down the street with a massive erection. There we no survivors.
9DcH8JO6TLivVLanBHbgng	Chuck Norris' penis is so hard that a cat couldn't scratch it.
NsUnjaXDRMK4_qjhCO7UXg	Chuck Norris makes a rock and a hard place look like a threesome.
2EYMULloRv2bpJjBSL7j5g	What happens between you and Chuck Norris stays between you and Chuck Norris
CBq8fXWGQ3CbWf0COWGidg	Chuck Norris's second child is Tim Tebow
f7VED6lCQ6y0fY_QdOgveA	Chuck Norris can literally slap you stupid.
k4MoTLbmQKq9kzfibpXREg	Chuck Norris' "little black book" was recently used by the Texas government to compile their last phone directory.
sOPjUgkcSm6r6WQaSA6SjA	The day before the MTV awards, Miley was broken in by Chuck Norris.
9O-4_ziCTwKU7-4v7szXUg	Chuck Norris recently set a land-speed record at the Bonneville Salt Flats while riding on a pogo stick.
l00PpeQcTAqizOpKdukHYA	Chuck Norris once wrote..."I will personally roundhouse kick anybody in the face that missplells words!"
0rpfuvomTBK3njXdPd3B1w	Chuck Norris doesn't text message with him fingers. He uses his nose.
T0EOtK6CQxGi4RUPGRctIg	Chuck Norris got lost in the wilderness with Les Stroud and Bear Grylls. After 30 days only Chuck came out alive and had gained 20 pounds. Les and Bears bodies were never founds.
P1429ju0RMS7PQBhzrmHyQ	Chuck Norris can cause you significant pain by squirting banana juice in your eye.
pI3lslTjRVWyeMjdBlnVIg	Chuck Norris lit off 2 fire crackers...It destroyed Hiroshima and Nagasaki
Q5VKxnLRSE-srNtkGgH1MA	It took God 1 week to create the earth and the heavens, it took him 2 weeks to create Chuck Norris!
NqcgUOhxQH2cf7oWrvTj1Q	Mick Jagger: "oh you can't always get what you waaaannt."  Chuck Norris "Yes I can."
RlbX5-BjQ5GOGwRRvmEB-A	A movie about Chuck Norris' early years is in the works, although its production has been delayed -- presumably because they're still trying to find an actor who can read the script without being immediately hospitalized by a serious case of spontaneous ball-shrivelling.
eY_BnudpR-aQfAY9L7IkQQ	Jesus shamelessly wore a Chuck Norris beard.
kXd5ZmVTRP-8ieSkJg2GCw	When you bet, you are engaging in gambling. When Chuck Norris bets, he is engaging in winning.
RETYTBF4QEW9S75MNCtBLQ	When Chuck Norris was Born, the whole Hospital cried.
xwjic1sws_yohsfefndaiw	Chuck Norris once kicked a horse in the chin. Its decendants are known today as Giraffes.
bcVErpcZTEyb7-cs1fLqBA	When Chuck Norris ironed his clothes the steam was blood
HRNEVp-wTzCpofatLyeogA	Chuck Norris' fart can destroy every living entity in the whole world. He holds his fart to save the world. Thank you Chuck!
rkG_VAn9TGiJXq3glYEX5A	Chuck Norris CAN see John Cena.
uSKQfUO4Q7i09B5cDNGf_Q	Chuck Norris gargles peanut butter.
iWlc71eqSfS-WykxUkel-A	Even as a kid he's not afraid of the Dark, Dark is afraid of CHUCK NORRIS.
1iqWBH5-Q_C5Lit1ll-s3g	Chuck Norris thinks Holden Caulfield is a phoney.
GGhoS4-8QWeKg4HUvUkQbQ	Chuck Norris famously once said: "With great power comes great responsibility. But sometimes, y'know, fuck it."
fRKcXqYjTjuSwcvSOOkd2w	Big Foot takes plaster molds of Chuck Norris' footprints
3da7yJK2RVS9-JD8Rj17Ug	The Pope once tried to bless Chuck Norris. Nobody crosses Chuck Norris.
4hq4TBJcSmSg58dhxlCv4Q	Chuck Norris wears two cats impaled with croquet hoops as flip-flops.
CvPS21VFSUyhVFnSRFEnbQ	M. Night Shyamalan will not see the twist ending to his life, which will be Chuck Norris twisting his head off.
ZBmtxlujRZSfXA8j-Ww4Qw	Chuck Norris once shot a cannon out of a clown.
rDsyID_jQY2fQpT8uPABLQ	The signs outside of Chuck Norris' properties all say "TRESPASSERS WILL BE NORRISED"
pFoxZAFaSRais9-SHBJlMg	Chuck Norris is a proud sponsor of death!
PLwK9wWgR525DB5AFhmtiA	The Grim Reaper looked at Chuck Norris and was pantsed and round house kicked in the balls, at the same time a new born child was named: Chuck Alfred Norris Tomas, and died instantly.
gbZ8UuiYR1Ci9ixUz1c94g	Chuck Norris can stop the space-time continum
n0it85Y-Sae48n7AWnJSOA	Davy Crockett shot his first bear when he was only 3. Chuck Norris roundhouse kicked his first bear into oblivion when he was only 6 months old.
9uslbIAvRxu8zPZ1sjYlMQ	Chuck Norris doesn't sleep with a gun he sleeps with his fist.
4AuzH_1_TYqZhXU1S-IaLg	Chuck Norris can run faster than the speed of light and kick light in its ass and send it flying even faster than the speed of light, and then run faster than the new speed of light and again do the same over and over again. Every time he does it new universes are created.
nwverOpGTT2r3A5jYtoAtA	Chuck Norris can have phone sex using morse code.
TRY1jUC6Q2aw7wvdEhlZtw	Led Zeppelin originally wanted to call their songs "Whole Lotta Chuck" and "Stairway To Chuck Norris' Basement"
p1HYJoQ3T66Ut1gBxGW7UA	If you dare to eat a bowl Chuck Norris' homemade Texas Hot Chile and later take a dump, you'll need to wipe your ass with a snow cone.
1hRzxK8GQSa-qrdenUGiFw	Chuck Norris wasn't born, he was created by fusing together an uzi machine gun, beard hair, cowboy boots, pure rage, and chucktanium heated to 300,000,000,000,000,000,000,000,000,000,000,000,000degrees celsius and cooled in a dry ice chamber located at the bottom of the ocean where they THOUGHT he couldn't escape!
LP1k_3DaR2Cy3J9n_Po9jQ	Chuck norris says: Ima Firin Mah Lazor Shoop-de-woop yo ass
0A8dy1d2RbeP3NOe52DuJw	In fact there is no Google satellite views, just Chuck Norris eyes that he lets you to use it.
-WKJIRKhRQuCU5VXDVUKuA	Chuck Norris was at a drugstore recently and mistaken for an employee. A lady asked "do you have cotton balls"? Chuck replied "no ma'am, mine are solid meat".
iyqJyygVSDWpUg754d0zXg	Bill Gates recently received a video tape of Chuck Norris holding up Steve Jobs' severed head and repeating 'you're next, egghead'.
QNzn-O17TjC2iSBUOdlLog	Chuck Norris doesn't chew gum balls. he chews bowling balls.
gt668veCS5iPFlJRBvfJqQ	Chuck Norris may not have invented death, but he sure as hell perfected it.
zKc3iU1RTeGleo7660lXhg	Women line up just for the thrill of giving Chuck Norris a hickey on his hemorrhoids.
ktCzo7lgRQS6BZ9581vhQA	Chuck Norris has a million Espurr. When they hug his legs, you better get the bleep out of there, or else you'll die a death worse than a normal Chuck Norris roundhouse kick.  Don't believe me? Have you even READ Espurr's Pokedex entries?
BHMrb2JjS-O4v0DBizeFtA	Chuck Norris doesn't count his chicken before they hatch. He cracks them and eats them.
t1eAZ4vOQoyQtqdRzVSFeg	Chuck Norris doesnt have to have a no solicating sign on his door. he just pee's around the door and sales men know to leave as fast as they can or they will have 5 sec left to live
KC54acTTT6iPf9FD0m7VWw	Chuck Norris once took a test called the S.T.A.N.D. he got pissed before he got to the tenth question and roundhoused it.... it is now known as the S.A.T.
CNJjsJHGQum1UWf3AgESHA	Chuck Norris like to go for a nap outside during all of his flights.
5JK43kLSRC24Z_bMShU6dw	Chuck Norris can literally order Flied Lice at a Chinese takeout.
THzJk6ZsRi6W0rR-Cb2H2g	Chuck Norris requires all women with false teeth to remove them and replace them with Brillo Pads before giving him a blow job.
zvno1ZJIQfetnTX5ye8TwQ	The Old Spice Man aspires to smell like Chuck Norris
62ckxLUaREeLmC7Ri_P1rA	Chuck Norris won a car on The Price is Right by guessing a can of tuna was worth $5,467...
-Kv0E0IwRTmXWeXrDXPPJg	If you give a man a fish, he will eat for a day. If you give Chuck Norris a fish, he will kill you with it.
OdwD8V3DTmq4DKroFJuzkg	Chuck Norris favorite artist is Celine Dion. No homo.
eHsRfgYdRDG4SWBJCFM3Mg	As Chuck Norris' biggest fan once put it, "There's a certain poetic quality to my killing sprees."
-ZncWPhhTqGjsSMpPBpWqA	The end of the world is scared to come because Chuck Norris will round house kick is ass.
Xr51Ho8XS5Splj6XN9ChCQ	Harry potter is chuck Norris's love child
xnuwaugts-kehep-plwhpw	Chuck Norris invented Kentucky Fried Chicken's famous secret recipe with eleven herbs and spices. Nobody ever mentions the twelfth ingredient: Fear.
x-TQIGH4QumV2jMlEuK9EQ	Chuck Norris' name in Spanish.... El Nino.
VEDOQuIsSI-2CAgq3-2DaQ	Chuck Norris is all for same-sex marriage, as long as both chicks are hot.
aVmhcsu4TYS-SywQMwUvYw	Chuck Norris is probably watching you right now. Don't turn around.
0mm6Oy-HSse7xKBZMHmPwg	Chuck Norris' chest hair can absorb a shotgun blast.
9CdMLQgGSmOIR361rBB9hg	When Chuck Norris has a bone to pick, it's always the jawbone.
BvIsFDdiT7W8JVGXqvM02w	Chuck Norris killed Biggie and Pac
YlAApc90S5OH6sjpcFk3Vg	Chuck Norris has bagged a shit load of oscars, and that's from cameo roles alone.
kre3np9bqxqq1ndppyxh8q	Chuck Norris proved that we are alone in the universe. We weren't before his first space expedition.
1vyAb9GLTk678vbDzLXp_Q	If you Google search Chuck Norris and misspell it, it dosen't say "did you mean..." instead it says "run while you still have the chance"
wTLPK3P_QxCDI5IzyPl4wA	Superman's cape is made from Chuck Norris' chest hair.
2itjvbXZTcScUiuAMoOPLA	Chuck Norris can slit your throat with his pinkie toenail.
yTYCH0GyQgGm0kzfLcbggw	Chuck Norris breaks the 2nd law of thermodynamics every time he cleans his house.
zc2g3me0rnqbfankmo99hq	MacGyver immediately tried to make a bomb out of some Q-Tips and Gatorade, but Chuck Norris roundhouse-kicked him in the solar plexus. MacGyver promptly threw up his own heart.
J87BuhadSOChapnjUb4jlg	Filming on location for Walker: Texas Ranger, Chuck Norris brought a stillborn baby lamb back to life by giving it a prolonged beard rub. Shortly after the farm animal sprang back to life and a crowd had gathered, Chuck Norris roundhouse kicked the animal, breaking its neck, to remind the crew once more that Chuck giveth, and the good Chuck, he taketh away.
EAWzGqO9QdqOAjtY3MVPew	When you search "Chuck Norris getting his ass kicked," on any search machine, you will generate zero results. It just doesn't happen, and it never will too!
tzwV5RJkS-mD0cwIlrwaPA	Chuck Norris can bowl a 300. In four frames.
xsKiYuRfRoueJvISD_n-Qw	Chuck Norris has won many a contest merely by showing up.
hLyLI6p_QDOJiRk2BFmAGg	Chuck Norris bent Victoria Beckam.
lU75U3olS2-kJZQw0hx-GQ	Chuck Norris performs colonoscopies on himself.
EV25fGQjQsmVBlR1Lt7GhA	Chuck Norris has only needs help with one thing picking his dick up to piss.
gIN_0wcoT6SzeUg7uqjUnQ	Chuck Norris paints his house once a year with a human head.
KFIz7aRTQUSDO6H8ZP8k4w	Chuck Norris does not kill you; your already dead when you see him.
SmSE4OsrSGmJ2wnxmHjrPQ	Chuck Norris doesn't believe in God, God believes in Chuck Norris.
-vZWD2GgTjaf1PO7F2kgng	Chuck Norris doesn't drink water he drinks sulfuric acid with a hint of lemon
V3gTpFKcTCKhFOSPYlm45g	Chuck Norris doesn't need to eat. He runs on the fear of his enemies.
qNyBQtB2SJqguoKaIQooZw	Chuck Norris does not walk dogs, his cats do.
jEHcxnd1QPO5iE9aCCeR7g	Chuck Norris is a man of his word. Every contract he signs, he signs in blood....Your Blood for doubting his word
go6nGny4S72B9YAVBq1f2g	Chuck norris once whent to pizzahut. He ordered an eggroll with some swiss cheese. A rotten cow corpse.A dead president.And a large box with Hellfire missiles. Pizza hut served it on a big tuna fish pizza. Chuck Norris Roundhousekicked the whole place to oblivion making everyone inside suffer terrible pain for eternity.  Chuck norris did not order any pizza.
7LAn7lq_TceelI9aP_jpLw	Chuck Norris is the reason we, as a species, can't have nice things.
JQG-X0s3QUSXMaBbl1e7ig	My dad cries whenever i threaten him with calling Chuck Norris
C6Cf0sTaQgy0GV4ObyeMKQ	Catholics believe the Pope is the vicar of Christ. Jesus was the vicar of Chuck Norris.
GPkBTWh2RUWiymq_UU8-bA	Bigfoot has plaster casts of Chuck Norris' foot prints.
KqKSvWqTSVSTV0-gYCnuxg	Chuck Norris can say "I'm fallen in love with you" to a woman without mosbying her.
w7JjSWxqQFm7bpXiLiK_kQ	Chuck Norris discovered the theory of relativity. When Albert Einstein found out he decided to make it public. Chuck Norris got angry and roundhouse kicked him in the face. Albert Einstein is now known as Stephen Hawking.
YdnEsTugRI-kW1sH7z0-GA	If Chuck Norris was God, there would be no sand but only concrete, no water but only Liquir.
ydK-mA0eTzeplWyYdKpfQg	The following is the first fact/joke on this website.  Chuck Norris once bet NASA he could survive reentry without a spacesuit. On July 19, 1999, a naked Chuck Norris reentered the earth's atmosphere, streaking over 14 states and reaching a temperature of 3,000 degrees. An embarrassed NASA publicly claimed it was a meteor, and still owes him a beer.  I know because I posted it on here.
2IZw9EzwRfubhVvV941kJA	Chuck Norris has the unsafest sex on earth.
3K5DsgF7Td2vkTDc8vBtWw	Jesus could turn water into wine. Chuck Norris can turn his own piss into award-winning top shelf whiskey.
IMgH_ckjTV2BJUbCmyZJFA	Chuck Norris makes "smart bombs" look like a bunch of knuckleheads.
O9eUbqwUQrazSyiIHZ6lGQ	Chuck Norris could call the National Organization for Women "a bunch of fucked-up cunts" and still win their Feminist of the Year award.
uSXVSvFnS_aFFYjKtume6w	Can The Rock smell what Chuck Norris is cooking?
Ugi3zbpTQUK-CjE7nNz_Ug	The California Redwood forest is Chuck Norris toothpick factory
bygddhw2tuqct4hxazxrnw	Chuck Norris has volunteered to remain on earth after the Rapture; he will spend his time fighting the Anti-Christ.
6i6tiuAJQ-GbgLXa9QM8jw	Rome wasn't built in a day.  But, Chuck Norris did level the city within seconds.
4r2ie7ATSPq69zRBYcxmSw	Chuck Norris ate concrete and shit out a brick
AEhKl-XsQWaPmoqiy9EbUw	CHUCK NORRIS IS ACTUALLY B******* O FROM LONDON
cBxu2VjGS9ilMysEBGAzfw	Chuck Norris can dicieve his own mind!
gX5LgbBPRz2YPene2AZyrQ	Chuck Norris' calendar skips April 1st, because nobody fools Chuck Norris.
y-Jg50NRRmex84M3dv_ywA	Chuck Norris taught Robin Thicke how to give women Sex Therapy.
YGl2uDwQSKyjjeRj6qnk4w	Many don't know Chuck Norris was arrested when he was 10. Chuck beat up a 26 year old guy in a bar fight.
iNmA3fofScqorFXWo3g0MQ	Chuck Norris once loaned the dinosaurs money. They never payed him back.
5kWKoqquQBGo6Vw9B3OALA	Chuck Norris' apache name is Chuck Norris.
hTN0Y6BRT1-y-kl7dmgz6Q	Chuck Norris shot first.
R6h4MndXRx2tjw1nXP7sFQ	If Chuck Norris was a twilight vampire, he wouldn't sparkle, he'd blind you for life b/c nobody will ever see Chuck Norris as such a travisty
QY4jiLa2T86erJtWJ5elXA	Chuck Norris head may be in the clouds but his round house kick is in the back of your face.
yfyl-g7yRIKzhdZuzWlkUA	Chuck Norris once gave Mike Tyson a black eye.
1TInRsnmTuO-e0qlzKLFOQ	Chuck Norris once possessed an evil spirit.
0cIKamHzTTCVb-fcjAIbIg	The dinosaurs didn't go extinct Chuck Norris scared them out of existence.
oI_ORcH3QtCv1sZdotFn3w	Chuck Norris invented the soccer ball by dehydrating a zebra.
ERN6uLCwT2axwFnplvXjYQ	Nobody knows it, but there was actually a world war 3. When Chuck Norris told the world he was gonna fight by himself everybody quit and hid.
j88I9s4kSG2Uexjcy0nyvA	Some people can make animal shapes out of balloons.  Chuck Norris can do the same with human organs.
OMj1kqk9RdCgUgUFckbqww	Michele Bachmann's face needed pastic surgery again after she called Chuck Norris' mother a social succubus for recieving social security payments that her husband & she paid into for 50 years.
g7VJOKGcT16W5pdb6ukYSQ	Chuck Norris has a cameo in Armageddon, The day after tomorrow, 2012, and war of the worlds... as the same role.
KCFRbf6gSP2N7uBXNGSuVQ	A journey of a thousand miles starts with a single step... and of course can be ended with a single brutal Chuck Norris spinning snap kick to the side of the face. So think about that.
PWjlfxRLR0mjkGOTfg8V1w	Why is Chuck Norris awesome? because hes Chuck Norris.
9zcJlGVOSYWOeQjRMcTlFA	Genesis 32:30- I have seen the face of God Chuck Norris 1:1- I punched the shit out of it
lZnOERIZT5KC9J2AAxfPjw	Chuck Norris was expelled from the 5th grade when he took Steve, his pet Velociraptor for show and tell.
v__D6rbJST-k94JinGnMBg	Chuck Norris was asked if he would be willing to wrestle a Grizzly Bear. Chuck said he would and then added "I didn't know Rosie O'Donnell was in town".
NyI3R7MsR0CfUTmQqrbAfw	Chuck Norris created "Where's Waldo?". He wasn't a fan of the name Waldo, so he round house kicked him in the face and no one has seen Waldo since...hence where's Waldo?
NDnlyJsgS52vt__KGUkbjA	Chuck norris pooed in the petri dish and Chuck norris petrified the batlisk
74i8DU5lQOyuTmAzqeXx5w	Chuck Norris washes his dishes with an angle-grinder.
EMlnUXW5SJG8fiwD9PQ9wA	Whenever you say to yourself, 'at least it can't get any worse than this', that's usually the exact moment when Chuck Norris penetrates your mother.
xdLHI9I4S7OBg3dAGMpVig	Chuck Norris fucks you so bad it feels good
WMxQNWEaQcuH4OJ9ZzEB6Q	Chuck Norris smokes crack addicts.
wW7hbbzNROexVIzpgy_eaA	Chuck Norris doesn't take an arrow to the knee, he takes his knee to the arrow
JfyGr-q-QCWm1epZstar1g	Chuck Norris once ran a marathon because it was on his way.
yJD3GmIlT-edQVEdMBHYWQ	Christiano Ronaldo is only good at soccer for one reason.Chuck Norris taught him how to roundhouse the ball.
ylcomtcbSP-kPJnaP64L5g	MICHAEL JACKSON MOLESTED LITTLE KIDS... CHUCK NORRIS MOLESTED MICHAEL.
RSkXWb2pSnaqFSA-uL8IkQ	Chuck Norris knows when God will return.
Hnp1mLMtRnSQ9T0c2yb_vQ	Chuck norris can jump rope with steel pipe. OH he also plays frisbee golf with discuss!
g96iRXO6TPWAgWkrWf_YRQ	once upon a time Chuck Norris seen a mime"hello" said chuck the mime didnt answer so he round house kicked him to death.
4ldIG1sERiuWjh9xdytCrg	Chuck norris was batman and Bruce Wayne was Robin, but then chuck got bored so Bruce was promoted
lP6V4K5cT0CM8RXH1MqESA	Chuck Norris measurments are 10000-9000-30000000000000 the bottom piece is more bigger because he is best trained foot fighter(roundhousekick)
xIYU9-KDQS-Epsh1p04Z0w	Chuck Norris and Rodney Mullen were skateboarding in Singapore. Rodney got fined, and Chuck got paid
